first_name,last_name,titles,from_date
Kwee,Salverda,Senior Engineer,8/1/2002
Phuoc,Ramras,Senior Engineer,8/1/2002
Remko,Ramsay,Senior Staff,8/1/2002
Yechiam,Kobara,Senior Engineer,8/1/2002
Dines,Sundgren,Senior Engineer,7/31/2002
Gio,Nicolson,Senior Staff,7/31/2002
Herb,Lorin,Engineer,7/31/2002
Khue,Masamoto,Senior Engineer,7/31/2002
Naftali,Anger,Senior Staff,7/31/2002
Shen,Makrucki,Senior Staff,7/31/2002
Xianlong,Undy,Senior Staff,7/31/2002
Zejun,Coors,Senior Engineer,7/31/2002
Berthier,Zambonelli,Senior Engineer,7/30/2002
Zissis,Prenel,Senior Staff,7/30/2002
Baziley,Motley,Senior Staff,7/29/2002
Bernt,Dehkordi,Senior Engineer,7/29/2002
Huan,Kroon,Senior Engineer,7/29/2002
Marsal,Pena,Senior Staff,7/29/2002
Amstein,Vitiello,Senior Staff,7/28/2002
Bernd,Angel,Senior Staff,7/28/2002
Kinh,Angel,Senior Engineer,7/28/2002
Serenella,Sevcikova,Senior Engineer,7/28/2002
Tetsushi,England,Senior Staff,7/28/2002
Guttorm,Gyimothy,Senior Staff,7/27/2002
Jianhua,Klassen,Senior Staff,7/27/2002
Spyrose,Constantine,Senior Engineer,7/27/2002
Uli,Harllee,Senior Staff,7/27/2002
Yakkov,Staylopatis,Senior Engineer,7/27/2002
Arco,Baer,Senior Staff,7/26/2002
Kerryn,Belinskaya,Engineer,7/26/2002
Dante,Reistad,Senior Engineer,7/25/2002
Jovan,Bage,Senior Engineer,7/24/2002
Koldo,Salverda,Senior Staff,7/24/2002
Visit,Schaad,Senior Engineer,7/24/2002
Youngkon,Pearson,Senior Staff,7/24/2002
Collette,Ohori,Engineer,7/23/2002
Uta,Sullins,Senior Engineer,7/22/2002
Alper,Garnier,Senior Engineer,7/21/2002
Berni,Back,Senior Staff,7/21/2002
Marit,Boguraev,Senior Engineer,7/21/2002
Xiadong,Ramamoorthy,Senior Engineer,7/21/2002
Kinh,Perl,Senior Engineer,7/20/2002
Leaf,Asrin,Senior Staff,7/20/2002
Berhard,Simmen,Senior Staff,7/19/2002
Giordano,Pouyioutas,Senior Staff,7/19/2002
Gritta,Peac,Engineer,7/19/2002
Lorien,Desikan,Senior Engineer,7/19/2002
Valery,Iwayama,Senior Staff,7/19/2002
Conrado,Pluym,Senior Engineer,7/18/2002
Hongzhu,Maquelin,Senior Engineer,7/18/2002
Paraskevi,Nyanchama,Senior Staff,7/18/2002
Hironobu,Gischer,Senior Engineer,7/17/2002
Malu,Suwa,Senior Engineer,7/17/2002
